Generation,Best_Fitness,Average_Fitness
1,-8.955727233402952,-25.5183342991173
2,-8.780765007532386,-15.922830523681009
3,-8.780765007532386,-11.627874463468872
4,-8.319747442532691,-9.725191471330755
5,-4.538723658649366,-9.17016940659478
6,-4.538723658649366,-8.672723858696237
7,-4.413396116696589,-8.362490778237097
8,-4.413396116696589,-7.868817131857797
9,-4.392162537850539,-7.011326165611181
10,-4.377677632272236,-5.650197974633305
11,-4.029166304662544,-4.513345112557831
12,-1.01,-4.3635447128839955
13,-1.01,-4.206239431434381
14,-1.0083318840568751,-3.9398534246379495
15,-1.0083318840568751,-3.5017471498106634
16,-1.0083318840568751,-2.8238670537568025
17,-1.0083318840568751,-1.7958811233354612
18,-1.0083318840568751,-1.0901828706468377
19,-0.9126279441628826,-1.0264723299765466
20,-0.9126279441628826,-1.0167987777652279
21,-0.9126279441628826,-1.0119987777652277
22,-0.8459710140578753,-1.0047386168455525
23,-0.8459710140578753,-1.0023737026365769
24,-0.8459710140578753,-1.0023655376705904
25,-0.8459710140578753,-1.0023655376705904
26,-0.8459710140578753,-1.0016498903670492
27,-0.8459710140578753,-1.0016498903670492
28,-0.8459710140578753,-1.0016498903670492
29,-0.8459710140578753,-0.9993109948193347
30,-0.8459710140578753,-0.9993109948193347
31,-0.8459710140578753,-0.9993109948193347
32,-0.8459710140578753,-0.9977789171532665
33,-0.8459710140578753,-0.9949789171532665
34,-0.8459710140578753,-0.9943655104589507
35,-0.8459710140578753,-0.994164500332174
36,-0.8459710140578753,-0.9917910771824358
37,-0.8459710140578753,-0.99157767048812
38,-0.8459710140578753,-0.99157767048812
39,-0.8459710140578753,-0.99157767048812
40,-0.8459710140578753,-0.991364263793804
