Generation,Best_Fitness,Average_Fitness
1,-1274.0042649657594,-1507.5239816780843
2,-1274.0042649657594,-1459.2117067081933
3,-1274.0042649657594,-1412.93727953413
4,-1267.5508188814351,-1355.9605340241326
5,-1266.058395789157,-1300.7926335184459
6,-1266.058395789157,-1278.2616825099933
7,-1263.5576777265971,-1274.9477388168814
8,-1238.0137498597473,-1272.4273850665359
9,-1238.0137498597473,-1271.0778074390148
10,-1238.0137498597473,-1270.5197390127632
11,-1238.0137498597473,-1269.6276285393633
12,-1238.0137498597473,-1268.3696071950808
13,-1238.0137498597473,-1267.6607814926438
14,-1238.0137498597473,-1267.4103632710137
15,-1238.0137498597473,-1267.004801354414
16,-1238.0137498597473,-1266.488869602325
17,-1238.0137498597473,-1266.1221679234925
18,-1238.0137498597473,-1265.7423709915088
19,-1238.0137498597473,-1265.5197177116538
20,-1238.0137498597473,-1265.3923946967498
21,-1238.0137498597473,-1265.1789139924438
22,-1238.0137498597473,-1264.931318175761
23,-1238.0137498597473,-1264.8963306958485
24,-1238.0137498597473,-1264.695686845563
25,-1238.0137498597473,-1264.4797329019905
26,-1238.0137498597473,-1264.3918585813492
27,-1238.0137498597473,-1263.9235925637938
28,-1238.0137498597473,-1263.7078758479008
29,-1238.0137498597473,-1263.6110932157121
30,-1238.0137498597473,-1263.581301776201
31,-1238.0137498597473,-1263.5430201919412
32,-1238.0137498597473,-1263.3725851926497
33,-1238.0137498597473,-1263.3725851926497
34,-1238.0137498597473,-1263.3725851926497
35,-1238.0137498597473,-1263.3725851926497
36,-1238.0137498597473,-1263.3485609007478
37,-1238.0137498597473,-1263.3215550592643
38,-1238.0137498597473,-1263.270834271586
39,-1238.0137498597473,-1263.2706337497857
40,-1238.0137498597473,-1263.1283742770229
